color_index,display_name,material,render_profile,shader,textures,opacity,main_color,status,pickup_prefab,pickup_references,material_references,recommendation
11,Swift Reptile,Resources/parts/partpalets/ArmyGreenMat.mat,标准卡通调色板,Shader/Toony-Lighted.shader,Resources/parts/partpalets/textures/army.png; Texture2D/toon ramp_Gradient.png,1,"{r: 1, g: 1, b: 1, a: 1}",正式登记且存在获取引用,GameObject/Color11.prefab,GameObject/ColorCapsule11Data.prefab,GameObject/ArenaFighter9.prefab; GameObject/Color11.prefab; GameObject/ColorGUI.prefab; GameObject/Colorizer_Wj_ArmyGreen.prefab; GameObject/Lvl0CupidFamily.prefab; GameObject/Slasher.prefab; GameObject/TournamentNPC_block.prefab; GameObject/TournamentNPC_customize.prefab; GameObject/TournamentNPC_customize_battle.prefab; GameObject/TournamentNPC_info.prefab; GameObject/TournamentNPC_info_battle.prefab; GameObject/TutorialNPC6Block_PT.prefab; GameObject/TutorialNPC6Block_PT_JS.prefab; GameObject/noScopeKing.prefab; Resources/parts/bodyparts/AeroStabilizer.prefab; Resources/parts/bodyparts/DrillBossArm.prefab; Resources/parts/bodyparts/DrillBossLeg.prefab; Resources/parts/bodyparts/DrillBossShld.prefab; Resources/parts/bodyparts/IceBossArmClaw.prefab; Resources/parts/bodyparts/IceBossArmMiniRocket.prefab; Resources/parts/bodyparts/IceBossLeg.prefab; Resources/parts/bodyparts/IceBossShld.prefab; Resources/parts/bodyparts/MBPArm.prefab; Resources/parts/bodyparts/PsychicBossLeg.prefab; Resources/parts/bodyparts/SkellyShld.prefab; Resources/parts/bodyparts/SniperArm.prefab; Resources/parts/bodyparts/boxerArm.prefab; Resources/parts/bodyparts/boxerHead.prefab; Resources/parts/bodyparts/boxerLeg.prefab; Resources/parts/bodyparts/defaultLeg.prefab; Scenes/FightMode/Battle/BattleCeremony.unity; Scenes/FightMode/Tournament/TournamentCeremony.unity,正常内容；仍需运行时核对实际关卡入口
,,Resources/parts/partpalets/ArmyGreenYellowMat.mat,标准卡通调色板,Shader/Toony-Lighted.shader,Resources/parts/partpalets/textures/armygreenyellow.png; Texture2D/toon ramp_Gradient.png,1,"{r: 1, g: 1, b: 1, a: 1}",未登记且未发现外部引用,,,,未实装/孤立资源候选；需要运行时预览
,,Resources/parts/partpalets/beigebordeauxMat.mat,标准卡通调色板,Shader/Toony-Lighted.shader,Resources/parts/partpalets/textures/beigebordeaux.png; Texture2D/toon ramp_Gradient.png,1,"{r: 1, g: 1, b: 1, a: 1}",未登记的专用材质,,,GameObject/Lvl0KachookFamily.prefab; GameObject/Lvl1KachookFamily.prefab; GameObject/paintNPC.prefab; GameObject/paintNPC_UNUSED.prefab,先确认用途；可能属于 Boss、技能或特效，不应直接当颜色开放
,,Resources/parts/partpalets/beigedarkorangedarkMat.mat,标准卡通调色板,Shader/Toony-Lighted.shader,Resources/parts/partpalets/textures/beigedarkorangedark.png; Texture2D/toon ramp_Gradient.png,1,"{r: 1, g: 1, b: 1, a: 1}",未登记的专用材质,,,GameObject/ArenaFighter4.prefab,先确认用途；可能属于 Boss、技能或特效，不应直接当颜色开放
13,Valk Elite,Resources/parts/partpalets/BlackGreenGrayMat.mat,标准卡通调色板,Shader/Toony-Lighted.shader,Resources/parts/partpalets/textures/BlackGreenGray.png; Texture2D/toon ramp_Gradient.png,1,"{r: 1, g: 1, b: 1, a: 1}",正式登记且存在获取引用,GameObject/Color13.prefab,GameObject/ColorCapsule13Data.prefab,GameObject/ArenaFighter8.prefab; GameObject/Color13.prefab; GameObject/ColorGUI.prefab; GameObject/Colorizer_Wl_BlackGreenGray.prefab; GameObject/Colorizer_Wl_Splintercell.prefab; GameObject/Lvl-1WrenchFamily.prefab; GameObject/Lvl-1WrenchFamily2.prefab; GameObject/Lvl3CupidSkelFamily.prefab; GameObject/Lvl3HubSkeleton.prefab; GameObject/Lvl4WrenchIceFamily.prefab; GameObject/Lvl5CupidSteamFamily.prefab; GameObject/Lvl5CupidSteamZombieFamily.prefab,正常内容；仍需运行时核对实际关卡入口
16,Dark Conductivity,Resources/parts/partpalets/BlackWater.mat,标准卡通调色板,Shader/Toony-Lighted.shader,Resources/parts/partpalets/textures/blackwater.png; Texture2D/toon ramp_Gradient.png,1,"{r: 1, g: 1, b: 1, a: 1}",正式登记且存在获取引用,GameObject/Color16.prefab,GameObject/ColorCapsule16Data.prefab,GameObject/Color16.prefab; GameObject/ColorGUI.prefab; GameObject/CybraFamily.prefab; GameObject/FinalBossPhase2.prefab; GameObject/Tank.prefab,正常内容；仍需运行时核对实际关卡入口
0,Blue Cookie,Resources/parts/partpalets/bluebeigeMat.mat,标准卡通调色板,Shader/Toony-Lighted.shader,Resources/parts/partpalets/textures/bluebeige.png; Texture2D/toon ramp_Gradient.png,1,"{r: 1, g: 1, b: 1, a: 1}",正式登记且存在获取引用,GameObject/Color0.prefab,GameObject/ColorCapsule0Data.prefab,GameObject/Color0.prefab; GameObject/ColorGUI.prefab; GameObject/Colorizer_BlueBeige.prefab; GameObject/Cybra.prefab; GameObject/DefaultKachook.prefab; GameObject/DefaultWachook.prefab; GameObject/DefaultWrench.prefab; GameObject/FrostWrench.prefab; GameObject/KachookMinion.prefab; GameObject/Lvl-1WrenchFamily.prefab; GameObject/Lvl-1WrenchFamily2.prefab; GameObject/Lvl0WrenchFamily.prefab; GameObject/SpawnWrench.prefab; GameObject/Tut_enemy.prefab; GameObject/factoryKachook_lvl5.prefab; GameObject/hammerNPC.prefab,正常内容；仍需运行时核对实际关卡入口
1,Blorange,Resources/parts/partpalets/blueWhiteMat.mat,标准卡通调色板,Shader/Toony-Lighted.shader,Resources/parts/partpalets/oldtextures/palletBlue.png; Texture2D/toon ramp_Gradient.png,,"{r: 1, g: 1, b: 1, a: 1}",正式登记且存在获取引用,GameObject/Color1.prefab,GameObject/ColorCapsule1Data.prefab,GameObject/Color1.prefab; GameObject/ColorGUI.prefab; GameObject/Colorizer_BlueWhite.prefab; GameObject/Dozerdude.prefab; GameObject/FightingGuard1.prefab; GameObject/FightingGuard2.prefab; GameObject/Lvl1ChestData.prefab; GameObject/Lvl1CupidRangedFamily.prefab; GameObject/Lvl4KachookFamily.prefab; GameObject/PartChestData.prefab; GameObject/ShopAbility.prefab; GameObject/TutorialNPC1First.prefab; GameObject/TutorialNPC2Fight.prefab; GameObject/TutorialNPC3Inventory.prefab; GameObject/TutorialNPC3Inventory_JS.prefab; GameObject/TutorialNPC4Ability.prefab; GameObject/TutorialNPC4Ability_JS.prefab; GameObject/TutorialNPC5Last.prefab; GameObject/TutorialNPC5Last_JS.prefab; GameObject/guard1NPC.prefab; GameObject/guard2NPC.prefab; GameObject/guard3NPC.prefab; GameObject/guard3NPC_UNUSED.prefab; GameObject/guard4NPC.prefab,正常内容；仍需运行时核对实际关卡入口
,,Resources/parts/partpalets/brownorangeMat.mat,标准卡通调色板,Shader/Toony-Lighted.shader,Resources/parts/partpalets/textures/brownorange.png; Texture2D/toon ramp_Gradient.png,1,"{r: 1, g: 1, b: 1, a: 1}",未登记的专用材质,,,GameObject/Lvl2CupidPsychicFamily.prefab; GameObject/Psychic.prefab,先确认用途；可能属于 Boss、技能或特效，不应直接当颜色开放
,,Resources/parts/partpalets/CyberBone.mat,高光/金属质感,Shader/Normal-Glossy.shader,Resources/parts/partpalets/textures/gray.png,1,"{r: 1, g: 1, b: 1, a: 1}",未登记的专用材质,,,GameObject/FinalBossPhase2.prefab,先确认用途；可能属于 Boss、技能或特效，不应直接当颜色开放
