prefab,description_id,description_name,category,static_reference_count,static_references
Resources/parts/bodyparts/AeroStabilizer.prefab,90,Aero Stabilizer,一般部件或已有引用,2,Scenes/FightMode/Battle/BattleCeremony.unity; Scenes/FightMode/Tournament/TournamentCeremony.unity
Resources/parts/bodyparts/BatShld.prefab,0,Cyberrat Wing,一般部件或已有引用,4,GameObject/Lvl3BatFamily.prefab; GameObject/Lvl3CupidSkelFamily.prefab; GameObject/Lvl3HubSkeleton.prefab; GameObject/PartChestData.prefab
Resources/parts/bodyparts/bombHead.prefab,1,Bomba Head,一般部件或已有引用,6,GameObject/BombMan.prefab; GameObject/KachookMinion.prefab; GameObject/Lvl2CupidSmithFamily.prefab; GameObject/ShopAbility.prefab; GameObject/shopNPC.prefab; GameObject/shop_helperNPC.prefab
Resources/parts/bodyparts/boxerArm.prefab,2,Megafist Arm,一般部件或已有引用,23,GameObject/ArenaFighter6.prefab; GameObject/DefaultBoxer.prefab; GameObject/Dice.prefab; GameObject/FightingGuard2.prefab; GameObject/LittleDyK 1.prefab; GameObject/LittleDyK 2.prefab; GameObject/LittleDyK 3.prefab; GameObject/LittleDyK 4.prefab; GameObject/LittleDyK 5.prefab; GameObject/LittleDyK 6.prefab; GameObject/LittleDyK 7.prefab; GameObject/LittleDyK 8.prefab; GameObject/LittleDyK.prefab; GameObject/Lvl-1WrenchFamily.prefab; GameObject/Lvl-1WrenchFamily2.prefab; GameObject/Lvl0WrenchFamily.prefab; GameObject/Lvl1CupidMeleeFamily.prefab; GameObject/Lvl2CupidSmithFamily.prefab; GameObject/MiniMegac.prefab; GameObject/Player.prefab; GameObject/SpawnWrench.prefab; GameObject/Tank.prefab; GameObject/littleNPC.prefab
Resources/parts/bodyparts/boxerChest.prefab,3,Mega Core,一般部件或已有引用,10,GameObject/Cybra.prefab; GameObject/DefaultBoxer.prefab; GameObject/DefaultKachook.prefab; GameObject/EndlessSteamSoldier.prefab; GameObject/Lvl0KachookFamily.prefab; GameObject/Lvl1CupidMeleeFamily.prefab; GameObject/Lvl2CupidPsychicFamily.prefab; GameObject/SteamSoldierMinion.prefab; GameObject/SteamSoldierTalk.prefab; GameObject/factoryKachook_lvl5.prefab
Resources/parts/bodyparts/boxerHead.prefab,4,Hammer Head,一般部件或已有引用,16,GameObject/Cybra.prefab; GameObject/DefaultBoxer.prefab; GameObject/DrillDoom.prefab; GameObject/FightingGuard1.prefab; GameObject/FightingGuard2.prefab; GameObject/Lvl1CupidMeleeFamily.prefab; GameObject/ScaredGuy.prefab; GameObject/ShopAbility.prefab; GameObject/TutorialNPC6Block_PT.prefab; GameObject/TutorialNPC6Block_PT_JS.prefab; GameObject/guard1NPC.prefab; GameObject/guard2NPC.prefab; GameObject/guard3NPC.prefab; GameObject/guard3NPC_UNUSED.prefab; GameObject/guard4NPC.prefab; GameObject/noScopeKing.prefab
Resources/parts/bodyparts/boxerHip.prefab,5,Mega Hip,一般部件或已有引用,9,GameObject/Ambassador.prefab; GameObject/ArenaFighter9.prefab; GameObject/DefaultBoxer.prefab; GameObject/Dozerdude.prefab; GameObject/EndlessSteamSoldier.prefab; GameObject/Lvl1CupidMeleeFamily.prefab; GameObject/Lvl2CupidSmithFamily.prefab; GameObject/RareSoldier.prefab; GameObject/SteamSoldierTalk.prefab
Resources/parts/bodyparts/boxerLeg.prefab,6,Mega Leg,一般部件或已有引用,3,GameObject/DefaultBoxer.prefab; GameObject/FinalBossPhase2.prefab; GameObject/Lvl1CupidMeleeFamily.prefab
Resources/parts/bodyparts/boxerShld.prefab,7,Mega Shoulder,一般部件或已有引用,5,GameObject/Cybra.prefab; GameObject/DefaultBoxer.prefab; GameObject/Lvl1CupidMeleeFamily.prefab; GameObject/SteamSoldierMinion.prefab; GameObject/Tank.prefab
Resources/parts/bodyparts/defaultArm.prefab,8,Standard Arm,一般部件或已有引用,35,GameObject/DrillDoom.prefab; GameObject/Hermit.prefab; GameObject/Leon.prefab; GameObject/LeonNPC.prefab; GameObject/Lvl4CupidIceFamily.prefab; GameObject/ScaredGuy.prefab; GameObject/SoldierNPC.prefab; GameObject/TournamentNPC_customize.prefab; GameObject/TournamentNPC_customize_battle.prefab; GameObject/TournamentNPC_info.prefab; GameObject/TournamentNPC_info_battle.prefab; GameObject/TutorialNPC1First.prefab; GameObject/TutorialNPC2Fight.prefab; GameObject/TutorialNPC3Inventory.prefab; GameObject/TutorialNPC3Inventory_JS.prefab; GameObject/TutorialNPC4Ability.prefab; GameObject/TutorialNPC4Ability_JS.prefab; GameObject/TutorialNPC5Last.prefab; GameObject/TutorialNPC5Last_JS.prefab; GameObject/TutorialNPC6Block_PT.prefab; GameObject/TutorialNPC6Block_PT_JS.prefab; GameObject/TutorialNPCwalljump.prefab; GameObject/angryNPC.prefab; GameObject/friendNPC.prefab; GameObject/guard1NPC.prefab; GameObject/guard2NPC.prefab; GameObject/guard3NPC.prefab; GameObject/guard3NPC_UNUSED.prefab; GameObject/guard4NPC.prefab; GameObject/guideNPC.prefab; GameObject/hammerNPC.prefab; GameObject/paintNPC.prefab; GameObject/paintNPC_UNUSED.prefab; GameObject/rival.prefab; GameObject/rivalLvlNPC.prefab
